"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(4, 2, 2)","0","8.6","2","GPU Speed Of Light Throughput","Memory Throughput","%","2.00","2.01","2.01"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(4, 2, 2)","0","8.6","2","GPU Speed Of Light Throughput","DRAM Throughput","%","1.17","1.17","1.17"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(4, 2, 2)","0","8.6","2","GPU Speed Of Light Throughput","Duration","usecond","15.07","15.23","15.15"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(4, 2, 2)","0","8.6","2","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","11.92","11.93","11.92"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(4, 2, 2)","0","8.6","2","GPU Speed Of Light Throughput","L2 Cache Throughput","%","1.43","1.44","1.43"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(4, 2, 2)","0","8.6","2","GPU Speed Of Light Throughput","SM Active Cycles","cycle","3,498.30","3,506.01","3,502.16"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(4, 2, 2)","0","8.6","2","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","11.36","11.42","11.39"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(4, 2, 2)","0","8.6","2","Launch Statistics","Block Size","","512.00","512.00","512.00"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(4, 2, 2)","0","8.6","2","Launch Statistics","Grid Size","","16.00","16.00","16.00"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(4, 2, 2)","0","8.6","2","Launch Statistics","Registers Per Thread","register/thread","38.00","38.00","38.00"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(4, 2, 2)","0","8.6","2","Launch Statistics","Shared Memory Configuration Size","Kbyte","32.77","32.77","32.77"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(4, 2, 2)","0","8.6","2","Launch Statistics","Driver Shared Memory Per Block","Kbyte/block","1.02","1.02","1.02"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(4, 2, 2)","0","8.6","2","Launch Statistics","Dynamic Shared Memory Per Block","byte/block","0.00","0.00","0.00"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(4, 2, 2)","0","8.6","2","Launch Statistics","Static Shared Memory Per Block","Kbyte/block","9.00","9.00","9.00"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(4, 2, 2)","0","8.6","2","Launch Statistics","Threads","thread","8,192.00","8,192.00","8,192.00"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(4, 2, 2)","0","8.6","2","Launch Statistics","Waves Per SM","","0.07","0.07","0.07"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(4, 2, 2)","0","8.6","2","Occupancy","Block Limit SM","block","16.00","16.00","16.00"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(4, 2, 2)","0","8.6","2","Occupancy","Block Limit Registers","block","3.00","3.00","3.00"
